lw	s	expr	tenure	rns	smsa	iq	s	med	mrt	kww	age	age2
5.9	12	.462	0	0	1	93	12	8	0	35	19	361
5.438	16	0	2	0	1	119	16	14	0	41	23	529
5.71	14	.423	1	0	1	108	14	14	0	46	20	400
5.481	12	.333	1	0	1	96	12	12	0	32	18	324
5.927	9	9.013	3	0	1	74	9	6	1	27	26	676
4.804	9	.333	1	0	1	91	9	8	0	24	16	256
6.512	18	1.205	6	0	1	114	18	8	1	50	30	900
5.808	15	1.25	1	0	0	111	15	14	1	37	23	529
5.737	12	2.048	2	0	1	95	12	12	1	44	22	484
6.382	18	1.372	5	0	0	132	18	13	1	44	30	900
5.743	14	0	1	0	0	102	14	16	1	45	22	484
6.215	14	.365	1	0	0	125	14	12	0	40	20	400
5.257	16	.69	0	0	1	119	16	10	0	24	20	400
6.62	16	2.389	0	0	1	118	16	12	1	47	26	676
5.714	10	4.378	2	0	1	105	10	6	1	37	21	441
5.595	12	0	2	0	1	109	12	12	0	39	22	484
5.808	11	8.787	1	0	1	72	11	10	1	36	29	841
5.9	12	0	0	0	1	105	12	12	0	29	21	441
5.298	11	.378	1	0	1	101	11	8	0	34	18	324
5.784	12	1.786	3	0	1	123	12	12	0	37	21	441
6.225	16	.47	7	0	1	113	16	12	1	49	26	676
5.743	12	.295	1	0	1	95	12	10	0	36	24	576
6.869	16	8.341	4	0	0	145	16	12	1	50	29	841
6.122	16	1	1	0	1	114	16	11	0	35	21	441
6.24	16	1.447	2	0	1	124	16	16	0	32	21	441
5.153	12	2.378	2	0	1	93	12	12	1	40	21	441
6.569	18	4.45	0	1	1	115	18	8	1	39	27	729
6.358	17	2.358	6	0	1	125	17	13	1	41	26	676
6.136	18	.897	5	0	1	128	18	16	0	35	28	784
5.927	12	6.768	1	0	1	103	12	8	1	40	25	625
6.215	14	2.378	3	0	1	98	14	12	0	41	21	441
5.521	13	0	1	0	1	108	13	12	0	41	18	324
6.016	18	0	1	0	0	129	18	18	0	40	27	729
6.358	16	1.475	2	0	1	132	16	17	1	42	24	576
5.521	13	0	2	0	1	92	13	8	0	24	19	361
6.148	13	0	1	0	1	106	13	15	1	35	20	400
5.858	16	2.269	0	0	1	105	16	13	1	37	21	441
6.324	17	0	3	0	1	123	17	12	1	46	25	625
5.753	12	6.333	2	0	1	108	12	8	1	48	24	576
6.236	16	.47	1	0	1	122	16	12	0	47	23	529
5.991	12	1.712	1	0	1	109	12	12	1	44	24	576
5.628	12	0	3	0	1	100	12	10	1	40	26	676
6.091	18	.795	1	0	1	125	18	14	1	50	23	529
6.109	14	1.869	7	0	1	122	14	12	0	41	27	729
5.442	16	0	2	0	1	105	16	12	1	34	21	441
5.553	16	.423	1	0	1	94	16	12	0	37	22	484
5.617	12	2.167	3	0	1	102	12	12	1	36	20	400
6.176	12	6.533	4	0	1	109	12	12	0	47	30	900
5.704	12	8.101	2	0	1	105	12	12	1	45	24	576
5.545	18	.906	1	1	1	134	18	12	1	46	28	784
5.384	12	.923	0	0	1	108	12	12	0	32	17	289
5.889	16	2.442	1	0	1	104	16	12	1	36	22	484
5.165	12	.462	1	0	1	112	12	12	1	35	18	324
5.628	18	0	3	0	1	120	18	11	0	49	23	529
5.338	16	1.189	1	0	1	124	16	17	0	40	22	484
5.308	12	.462	1	1	1	103	12	12	0	34	17	289
5.746	16	0	0	0	1	115	16	12	0	45	22	484
5.572	12	3.333	1	0	1	96	12	6	1	33	21	441
5.624	17	.884	4	0	1	123	17	12	1	48	26	676
5.165	12	.378	3	0	1	98	12	12	0	34	17	289
5.635	12	4.333	1	0	1	96	12	12	1	34	21	441
5.858	12	5	5	0	1	89	12	12	1	47	25	625
5.236	12	.374	1	0	1	93	12	9	0	20	18	324
5.521	12	1.916	1	0	1	82	12	12	0	32	19	361
6.551	15	1.378	2	0	1	120	15	12	1	45	27	729
6.064	12	5.324	6	0	1	122	12	12	1	38	23	529
6.729	18	1.467	2	0	1	117	18	12	1	48	25	625
6.389	16	1.619	5	0	1	109	16	8	1	44	28	784
6.358	17	1.462	1	1	1	114	17	12	1	55	27	729
6.225	16	.552	1	0	1	126	16	12	1	40	21	441
5.298	12	0	3	0	1	82	12	11	0	45	21	441
5.966	16	.942	1	0	1	119	16	12	0	45	21	441
5.897	16	0	1	0	1	104	16	12	1	37	23	529
5.583	12	3.461	1	0	1	97	12	12	1	45	22	484
5.521	14	.221	1	0	1	105	14	14	0	27	22	484
5.762	12	2.25	1	0	1	100	12	7	0	32	18	324
5.371	12	0	1	0	1	114	12	12	1	41	18	324
5.743	11	1.583	2	0	1	96	11	8	1	48	23	529
6.358	15	2.682	1	0	1	113	15	12	0	30	21	441
5.481	10	3.333	1	0	1	106	10	14	0	38	22	484
5.743	13	.128	4	0	1	104	13	8	1	37	21	441
6.109	12	0	0	0	1	104	12	12	0	30	22	484
5.298	12	.381	1	0	1	122	12	16	0	36	20	400
5.416	12	0	3	0	1	96	12	12	0	38	20	400
5.846	15	2.308	0	0	1	95	15	16	0	51	25	625
5.823	12	0	1	0	1	105	12	16	0	24	20	400
6.685	17	1.178	2	0	1	91	17	12	1	41	25	625
5.421	16	.753	1	0	1	96	16	12	1	37	22	484
5.371	14	.378	1	0	1	111	14	9	0	44	19	361
5.521	14	0	1	0	1	110	14	9	0	35	19	361
5.991	16	4.533	0	0	1	97	16	9	0	37	21	441
6.609	17	0	4	0	1	125	17	8	0	44	27	729
5.73	12	0	3	0	0	91	12	9	0	39	22	484
5.7	11	3.259	1	0	0	86	11	8	0	28	23	529
5.505	12	3.333	2	0	1	110	12	9	1	32	21	441
5.557	14	2.333	1	0	0	92	14	12	1	47	22	484
5.371	10	1.378	2	0	0	85	10	9	1	41	24	576
6.438	17	.358	1	0	0	120	17	8	1	36	26	676
6.31	12	6.886	0	0	1	106	12	12	1	42	25	625
5.73	16	.236	1	0	0	112	16	12	0	41	21	441
6.153	10	0	1	0	1	91	10	10	1	39	24	576
5.991	12	2.645	3	0	1	90	12	10	1	42	24	576
5.075	12	.096	1	0	0	113	12	12	0	27	17	289
5.823	12	0	2	0	1	111	12	12	1	51	24	576
5.198	12	2.378	1	0	1	111	12	12	0	30	20	400
5.011	12	.452	1	0	1	106	12	8	0	32	18	324
5.165	12	.231	1	0	0	98	12	12	0	28	18	324
5.497	12	0	1	0	0	105	12	12	0	28	18	324
5.602	10	.978	1	0	0	105	10	10	1	29	19	361
6.182	13	0	4	0	1	118	13	12	1	44	22	484
5.817	12	4.667	5	0	1	90	12	12	1	38	22	484
5.056	12	.981	3	0	1	95	12	9	0	34	19	361
6.059	13	.411	3	0	1	112	13	12	1	24	20	400
5.991	12	.403	2	0	1	120	12	12	1	39	23	529
5.165	12	.378	1	0	1	123	12	12	0	41	17	289
6.059	12	.782	1	0	1	103	12	16	0	32	20	400
6.438	18	.896	1	0	1	121	18	16	1	40	25	625
6.068	16	0	4	0	1	90	16	12	1	44	26	676
5.561	12	2.652	1	0	1	125	12	12	0	32	20	400
6.324	18	3.186	0	0	1	109	18	9	0	34	24	576
6.075	16	.404	1	1	1	128	16	10	0	46	21	441
5.82	12	.333	1	0	1	97	12	12	0	35	17	289
5.298	12	0	1	0	1	96	12	12	1	35	19	361
5.366	12	.769	1	0	1	97	12	12	0	44	16	256
6.333	12	4.985	1	0	1	112	12	7	1	39	25	625
5.257	12	4	1	0	1	88	12	2	1	32	24	576
5.858	12	1.142	2	0	1	97	12	14	1	39	22	484
5.521	12	0	2	0	1	101	12	6	1	41	22	484
5.438	10	5.333	1	0	1	106	10	7	1	42	21	441
5.298	10	6.321	0	0	1	59	10	8	0	28	26	676
6.234	18	.372	6	0	1	105	18	12	1	54	26	676
5.565	16	0	1	0	1	119	16	12	0	30	21	441
5.617	11	4.403	3	0	1	93	11	8	0	36	24	576
5.561	12	4.717	5	0	1	82	12	12	1	38	22	484
6.071	18	0	1	0	1	134	18	16	0	45	25	625
6.215	12	.395	1	0	1	84	12	8	0	29	20	400
5.704	11	2.962	3	0	1	98	11	12	0	36	20	400
5.656	16	4.057	1	0	1	118	16	13	0	41	22	484
5.838	17	3.712	2	0	1	113	17	12	1	50	25	625
5.298	12	1.308	1	0	1	100	12	9	0	18	18	324
5.489	12	0	2	0	1	93	12	12	0	27	18	324
6.028	16	0	1	1	1	119	16	12	1	30	23	529
5.521	14	.389	2	0	1	106	14	12	0	38	22	484
6.763	17	2.378	6	0	1	127	17	10	0	49	28	784
6.215	15	.731	1	0	1	113	15	12	0	35	21	441
5.838	13	.395	1	0	1	115	13	12	0	36	19	361
6.297	16	1.005	3	0	1	102	16	12	0	40	23	529
6.125	16	.462	1	0	1	117	16	12	1	51	21	441
5.635	16	.205	0	0	1	125	16	10	0	34	20	400
5.838	16	2.167	3	0	1	118	16	8	1	47	23	529
6.645	18	4.971	1	0	1	121	18	12	1	40	29	841
6.358	17	0	4	0	1	115	17	12	1	51	26	676
6.28	13	2.462	7	0	1	120	13	12	1	44	27	729
5.869	12	5.131	4	0	1	109	12	11	1	43	24	576
5.165	12	0	1	0	1	109	12	12	0	28	17	289
6.12	12	10.077	2	0	0	85	12	12	1	50	29	841
5.673	14	1.538	2	0	1	106	14	11	0	32	21	441
5.011	12	.378	1	0	1	101	12	10	1	30	17	289
5.529	12	0	1	0	1	116	12	12	0	40	17	289
4.942	12	.962	1	0	1	91	12	7	0	24	18	324
4.913	12	.333	3	0	1	91	12	11	0	28	20	400
5.416	9	0	1	0	1	110	9	7	0	34	20	400
5.165	12	6.7	0	0	1	75	12	7	1	33	24	576
